profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year
400,Janousek,54.17294,-130.16883,100,5,25.321100000000005,0.766,3.44,NA,NA
401,Janousek,54.17291,-130.16897,100,4,16.0475,1.115,1.625,NA,NA
402,Janousek,54.17286,-130.16905,100,4,10.905000000000001,1.185,0.925,NA,NA
403,Janousek,54.17089,-130.18833,100,4,28.985,0.6175,6.575,NA,NA
404,Janousek,54.17103,-130.18833,100,4,26.565,0.6,4.5,NA,NA
405,Janousek,54.17128,-130.18819,100,4,12.110000000000001,1.28,0.95,NA,NA
406,Janousek,54.17024,-130.18661,100,4,14.1775,1.27,1.125,NA,NA
407,Janousek,54.17008,-130.18672,100,4,20.585,0.97,2.425,NA,NA
408,Janousek,54.17011,-130.18686,100,3,32.390499999999996,0.2833333333333333,13,NA,NA
409,Janousek,54.16933,-130.1853,100,4,30.262500000000003,0.5475,6.55,NA,NA
41,Janousek,48.202,-122.386,100,41,15.7132,1.457560975609756,1.197560975609756,NA,NA
410,Janousek,54.16955,-130.18533,100,4,25.882500000000004,0.7925,3.725,NA,NA
411,Janousek,54.16958,-130.18511,100,4,13.8825,1.255,1.1,NA,NA
412,Janousek,54.16341,-130.15108,100,4,29.1275,0.57,5.9750000000000005,NA,NA
413,Janousek,54.16327,-130.15144,100,4,22.7535,0.7975,3.25,NA,NA
414,Janousek,54.16166,-130.14941,100,4,33.535,0.2675,14.075,NA,NA
415,Janousek,54.16166,-130.14958,100,5,22.4865,0.696,3.58,NA,NA
416,Janousek,54.15858,-130.16616,100,4,39.2975,0.6925,7.225,NA,NA
417,Janousek,54.15852,-130.16586,100,4,22.9445,0.755,3.625,NA,NA
418,Janousek,54.15858,-130.16561,100,4,15.58,1.33,1.175,NA,NA
419,Janousek,54.17883,-130.1803,100,3,38.525,1.34,2.5,NA,NA
42,Janousek,48.202,-122.386,100,41,16.7363,1.4641463414634146,1.2426829268292683,NA,NA
420,Janousek,54.17891,-130.18011,100,3,17.4105,0.5866666666666667,3.833333333333333,NA,NA
421,Janousek,54.17902,-130.17991,100,4,21.565,0.32,7.175,NA,NA
422,Janousek,54.16308,-130.15194,100,4,22.015,1.295,1.7000000000000002,NA,NA
423,Janousek,54.16163,-130.1498,100,4,13.739999999999998,1.2774999999999999,1.075,NA,NA
43,Janousek,48.192,-122.363,100,39,39.2862,1.0346153846153847,2.9038461538461537,NA,NA
44,Janousek,48.191,-122.363,100,43,19.89495,1.1055813953488371,2.2104651162790696,NA,NA
448,Janousek,48.51479,-122.52914,56,25,3.7670000000000003,1.1448,1.844,NA,NA
449,Janousek,38.01001,-121.5569,44,22,16.3299,0.16363636363636364,27.21818181818182,NA,NA
45,Janousek,48.188,-122.363,56,28,10.9389,1.3282142857142858,1.4919642857142856,NA,NA
